Date,Visitor,G,Home,G,,Att.,LOG,Notes
2019-11-22,New Jersey Devils,1,Pittsburgh Penguins,4,,18420,2:31,
2019-11-23,Minnesota Wild,4,Boston Bruins,5,OT,17850,2:46,
2019-11-23,Florida Panthers,2,Carolina Hurricanes,4,,18159,2:22,
2019-11-23,Toronto Maple Leafs,5,Colorado Avalanche,3,,18137,2:32,
2019-11-23,Chicago Blackhawks,1,Dallas Stars,2,SO,18532,2:46,
2019-11-23,Arizona Coyotes,3,Los Angeles Kings,2,,15912,2:29,
2019-11-23,New York Rangers,6,Montreal Canadiens,5,,21302,2:29,
2019-11-23,Detroit Red Wings,1,New Jersey Devils,5,,16514,2:28,
2019-11-23,Calgary Flames,3,Philadelphia Flyers,2,SO,17198,2:47,
2019-11-23,New York Islanders,1,San Jose Sharks,2,OT,16471,2:24,
2019-11-23,Nashville Predators,4,St. Louis Blues,2,,18096,2:29,
2019-11-23,Anaheim Ducks,2,Tampa Bay Lightning,6,,19092,2:33,
2019-11-23,Edmonton Oilers,4,Vegas Golden Knights,2,,18319,2:28,
2019-11-23,Columbus Blue Jackets,3,Winnipeg Jets,4,,15325,2:28,
2019-11-23,Vancouver Canucks,2,Washington Capitals,1,SO,18573,2:40,
2019-11-24,Edmonton Oilers,4,Arizona Coyotes,3,SO,12908,2:35,
2019-11-24,Carolina Hurricanes,2,Detroit Red Wings,0,,18726,2:25,
2019-11-24,Buffalo Sabres,5,Florida Panthers,2,,14443,2:21,
2019-11-25,New York Islanders,0,Anaheim Ducks,3,,16269,2:28,
2019-11-25,Ottawa Senators,0,Columbus Blue Jackets,1,,14730,2:22,
2019-11-25,Vegas Golden Knights,2,Dallas Stars,4,,18532,2:24,
2019-11-25,San Jose Sharks,4,Los Angeles Kings,3,OT,16927,2:29,
2019-11-25,St. Louis Blues,2,Nashville Predators,3,SO,17168,2:39,
2019-11-25,Minnesota Wild,2,New York Rangers,3,OT,18006,2:31,
2019-11-25,Vancouver Canucks,1,Philadelphia Flyers,2,,17083,2:21,
2019-11-25,Calgary Flames,2,Pittsburgh Penguins,3,OT,18437,2:33,
2019-11-25,Buffalo Sabres,2,Tampa Bay Lightning,5,,19092,2:24,
2019-11-26,Dallas Stars,0,Chicago Blackhawks,3,,21210,2:21,
2019-11-26,Boston Bruins,8,Montreal Canadiens,1,,21302,2:27,
2019-11-26,Minnesota Wild,3,New Jersey Devils,2,,14627,2:34,
2019-11-27,Anaheim Ducks,3,Arizona Coyotes,4,SO,14741,2:37,
2019-11-27,Calgary Flames,3,Buffalo Sabres,2,OT,17485,2:25,
2019-11-27,Philadelphia Flyers,3,Columbus Blue Jackets,2,,14975,2:20,
2019-11-27,Edmonton Oilers,1,Colorado Avalanche,4,,18021,2:27,
2019-11-27,Toronto Maple Leafs,6,Detroit Red Wings,0,,19515,2:26,
2019-11-27,New York Islanders,1,Los Angeles Kings,4,,16082,2:26,
2019-11-27,Vegas Golden Knights,4,Nashville Predators,3,OT,17326,2:28,
2019-11-27,Carolina Hurricanes,2,New York Rangers,3,,17269,2:32,
2019-11-27,Boston Bruins,2,Ottawa Senators,1,,13336,2:17,
2019-11-27,Vancouver Canucks,6,Pittsburgh Penguins,8,,18465,2:40,
2019-11-27,Winnipeg Jets,5,San Jose Sharks,1,,16008,2:25,
2019-11-27,St. Louis Blues,4,Tampa Bay Lightning,3,,19092,2:28,
2019-11-27,Florida Panthers,3,Washington Capitals,4,,18573,2:23,
2019-11-28,New Jersey Devils,6,Montreal Canadiens,4,,20876,2:35,
2019-11-29,Winnipeg Jets,3,Anaheim Ducks,0,,16301,2:24,
2019-11-29,New York Rangers,2,Boston Bruins,3,OT,17850,2:28,
2019-11-29,Toronto Maple Leafs,4,Buffalo Sabres,6,,19070,2:28,
2019-11-29,Nashville Predators,3,Carolina Hurricanes,0,,18680,2:25,
2019-11-29,Pittsburgh Penguins,2,Columbus Blue Jackets,5,,17402,2:30,
2019-11-29,Colorado Avalanche,5,Chicago Blackhawks,2,,21822,2:26,
2019-11-29,St. Louis Blues,3,Dallas Stars,1,,18532,2:28,
2019-11-29,Ottawa Senators,2,Minnesota Wild,7,,17112,2:34,
2019-11-29,Detroit Red Wings,1,Philadelphia Flyers,6,,18566,2:23,
2019-11-29,Los Angeles Kings,1,San Jose Sharks,4,,16893,2:17,
2019-11-29,Arizona Coyotes,1,Vegas Golden Knights,2,SO,18326,2:43,
2019-11-29,Tampa Bay Lightning,3,Washington Capitals,4,OT,18573,2:41,
2019-11-30,San Jose Sharks,4,Arizona Coyotes,2,,15485,2:16,
2019-11-30,Ottawa Senators,1,Calgary Flames,3,,18919,2:27,
2019-11-30,Chicago Blackhawks,3,Colorado Avalanche,7,,18015,2:30,
2019-11-30,Washington Capitals,5,Detroit Red Wings,2,,19190,2:26,
2019-11-30,Vancouver Canucks,5,Edmonton Oilers,2,,18035,2:25,
2019-11-30,Nashville Predators,0,Florida Panthers,3,,14285,2:22,
2019-11-30,Winnipeg Jets,1,Los Angeles Kings,2,,17249,2:26,
2019-11-30,Philadelphia Flyers,4,Montreal Canadiens,3,OT,21213,2:31,
2019-11-30,New York Rangers,4,New Jersey Devils,0,,16514,2:30,
2019-11-30,Columbus Blue Jackets,0,New York Islanders,2,,13433,2:13,at Barclays Center (Brooklyn NY)
2019-11-30,Pittsburgh Penguins,2,St. Louis Blues,5,,18096,2:19,
2019-11-30,Carolina Hurricanes,3,Tampa Bay Lightning,2,,19092,2:29,
2019-11-30,Buffalo Sabres,1,Toronto Maple Leafs,2,OT,19250,2:29,
2019-12-01,Montreal Canadiens,1,Boston Bruins,3,,17850,2:31,
2019-12-01,Dallas Stars,2,Minnesota Wild,3,SO,17096,2:35,
2019-12-01,Edmonton Oilers,3,Vancouver Canucks,2,,18871,2:22,
2019-12-02,Los Angeles Kings,2,Anaheim Ducks,4,,15434,2:28,
2019-12-02,New Jersey Devils,1,Buffalo Sabres,7,,15422,2:25,
2019-12-02,St. Louis Blues,4,Chicago Blackhawks,0,,21204,2:17,
2019-12-02,New York Islanders,4,Detroit Red Wings,1,,17510,2:22,
2019-12-02,Vegas Golden Knights,4,New York Rangers,1,,16325,2:18,
2019-12-03,Carolina Hurricanes,0,Boston Bruins,2,,17850,2:26,
2019-12-03,Arizona Coyotes,4,Columbus Blue Jackets,2,,14455,2:23,
2019-12-03,Minnesota Wild,4,Florida Panthers,2,,10167,2:23,
2019-12-03,New York Islanders,2,Montreal Canadiens,4,,20440,2:32,
2019-12-03,Vegas Golden Knights,4,New Jersey Devils,3,,12831,2:29,
2019-12-03,Tampa Bay Lightning,3,Nashville Predators,2,OT,17163,2:38,
2019-12-03,Toronto Maple Leafs,1,Philadelphia Flyers,6,,15811,2:15,
2019-12-03,Washington Capitals,5,San Jose Sharks,2,,15762,2:15,
2019-12-03,Ottawa Senators,2,Vancouver Canucks,5,,18559,2:24,
2019-12-03,Dallas Stars,1,Winnipeg Jets,5,,15325,2:32,
2019-12-04,Ottawa Senators,5,Edmonton Oilers,2,,17162,2:28,
2019-12-04,Washington Capitals,3,Los Angeles Kings,1,,16102,2:27,
2019-12-04,St. Louis Blues,0,Pittsburgh Penguins,3,,18411,2:22,
2019-12-04,Colorado Avalanche,3,Toronto Maple Leafs,1,,19351,2:20,
2019-12-05,Chicago Blackhawks,4,Boston Bruins,3,OT,17850,2:32,
2019-12-05,San Jose Sharks,2,Carolina Hurricanes,3,SO,14275,2:41,
2019-12-05,New York Rangers,3,Columbus Blue Jackets,2,,15785,2:25,
2019-12-05,Buffalo Sabres,3,Calgary Flames,4,,18085,2:27,
2019-12-05,Winnipeg Jets,2,Dallas Stars,3,OT,17983,2:35,
2019-12-05,Colorado Avalanche,3,Montreal Canadiens,2,,21302,2:31,
2019-12-05,Vegas Golden Knights,2,New York Islanders,3,OT,13117,2:29,
2019-12-05,Arizona Coyotes,3,Philadelphia Flyers,1,,17440,2:27,
2019-12-05,Minnesota Wild,5,Tampa Bay Lightning,4,,19092,2:23,
2019-12-06,Washington Capitals,3,Anaheim Ducks,2,,15945,2:38,
2019-12-06,Los Angeles Kings,1,Edmonton Oilers,2,,17044,2:26,
2019-12-06,Chicago Blackhawks,2,New Jersey Devils,1,SO,15273,2:37,
2019-12-06,Montreal Canadiens,2,New York Rangers,1,,17354,2:21,
2019-12-06,Arizona Coyotes,0,Pittsburgh Penguins,2,,18432,2:25,
2019-12-07,Colorado Avalanche,4,Boston Bruins,1,,17850,2:52,
2019-12-07,Minnesota Wild,2,Carolina Hurricanes,6,,18680,2:27,
2019-12-07,Los Angeles Kings,3,Calgary Flames,4,,19080,2:27,
2019-12-07,New York Islanders,1,Dallas Stars,3,,18532,2:22,
2019-12-07,Pittsburgh Penguins,5,Detroit Red Wings,3,,19515,2:29,
2019-12-07,Columbus Blue Jackets,1,Florida Panthers,4,,11640,2:22,
2019-12-07,New Jersey Devils,4,Nashville Predators,6,,17418,2:29,
2019-12-07,Ottawa Senators,3,Philadelphia Flyers,4,,18031,2:29,
2019-12-07,Toronto Maple Leafs,5,St. Louis Blues,2,,18096,2:24,
2019-12-07,San Jose Sharks,1,Tampa Bay Lightning,7,,19092,2:28,
2019-12-07,Buffalo Sabres,5,Vancouver Canucks,6,OT,18871,2:33,
2019-12-08,Arizona Coyotes,4,Chicago Blackhawks,3,SO,21232,2:33,
2019-12-08,Buffalo Sabres,3,Edmonton Oilers,2,OT,17227,2:22,
2019-12-08,San Jose Sharks,1,Florida Panthers,5,,11340,2:17,
2019-12-08,New York Rangers,5,Vegas Golden Knights,0,,18236,2:35,
2019-12-08,Anaheim Ducks,2,Winnipeg Jets,3,,15325,2:27,
2019-12-09,Calgary Flames,5,Colorado Avalanche,4,OT,17588,2:34,
2019-12-09,Boston Bruins,2,Ottawa Senators,5,,13894,2:34,
2019-12-09,New York Islanders,5,Tampa Bay Lightning,1,,19092,2:21,
2019-12-09,Columbus Blue Jackets,5,Washington Capitals,2,,18573,2:31,
2019-12-10,Calgary Flames,5,Arizona Coyotes,2,,11198,2:26,
2019-12-10,St. Louis Blues,2,Buffalo Sabres,5,,16521,2:21,
2019-12-10,New Jersey Devils,0,Dallas Stars,2,,18134,2:27,
2019-12-10,Carolina Hurricanes,6,Edmonton Oilers,3,,16175,2:31,
2019-12-10,Tampa Bay Lightning,2,Florida Panthers,1,,10685,2:31,
2019-12-10,New York Rangers,1,Los Angeles Kings,3,,17826,2:26,
2019-12-10,Anaheim Ducks,3,Minnesota Wild,2,SO,17154,2:46,
2019-12-10,San Jose Sharks,1,Nashville Predators,3,,17160,2:33,
2019-12-10,Montreal Canadiens,4,Pittsburgh Penguins,1,,18422,2:25,
2019-12-10,Toronto Maple Leafs,4,Vancouver Canucks,1,,18290,2:17,
2019-12-10,Chicago Blackhawks,1,Vegas Golden Knights,5,,18319,2:30,
2019-12-10,Detroit Red Wings,1,Winnipeg Jets,5,,15325,2:29,
2019-12-11,Philadelphia Flyers,1,Colorado Avalanche,3,,17905,2:26,
2019-12-11,Ottawa Senators,2,Montreal Canadiens,3,OT,21055,2:34,
2019-12-11,Boston Bruins,2,Washington Capitals,3,,18573,2:31,
2019-12-12,Los Angeles Kings,2,Anaheim Ducks,1,,16008,2:26,
2019-12-12,Chicago Blackhawks,2,Arizona Coyotes,5,,13150,2:19,
2019-12-12,Nashville Predators,3,Buffalo Sabres,4,,17211,2:27,
2019-12-12,Toronto Maple Leafs,2,Calgary Flames,4,,19289,2:20,
2019-12-12,Winnipeg Jets,2,Detroit Red Wings,5,,18832,2:27,
2019-12-12,New York Islanders,3,Florida Panthers,1,,12609,2:29,
2019-12-12,Edmonton Oilers,5,Minnesota Wild,6,,17271,2:30,
2019-12-12,Columbus Blue Jackets,0,Pittsburgh Penguins,1,OT,18415,2:24,
2019-12-12,New York Rangers,6,San Jose Sharks,3,,16381,2:19,
2019-12-12,Vegas Golden Knights,2,St. Louis Blues,4,,18096,2:15,
2019-12-12,Boston Bruins,2,Tampa Bay Lightning,3,,19092,2:32,
2019-12-12,Carolina Hurricanes,0,Vancouver Canucks,1,OT,18626,2:28,
2019-12-13,New Jersey Devils,1,Colorado Avalanche,3,,18034,2:22,
2019-12-13,Vegas Golden Knights,3,Dallas Stars,2,OT,18532,2:29,
2019-12-14,New York Rangers,3,Anaheim Ducks,4,SO,14707,2:38,
2019-12-14,New Jersey Devils,2,Arizona Coyotes,1,,17125,2:33,
2019-12-14,Carolina Hurricanes,4,Calgary Flames,0,,18853,2:29,
2019-12-14,Toronto Maple Leafs,4,Edmonton Oilers,1,,18347,2:36,
2019-12-14,Boston Bruins,4,Florida Panthers,2,,15157,2:35,
2019-12-14,Philadelphia Flyers,1,Minnesota Wild,4,,17140,2:23,
2019-12-14,Detroit Red Wings,2,Montreal Canadiens,1,,21302,2:28,
2019-12-14,Dallas Stars,4,Nashville Predators,1,,17586,2:28,
2019-12-14,Buffalo Sabres,2,New York Islanders,3,OT,13795,2:28,
2019-12-14,Columbus Blue Jackets,3,Ottawa Senators,4,OT,11020,2:36,
2019-12-14,Los Angeles Kings,4,Pittsburgh Penguins,5,SO,18581,2:47,
2019-12-14,Vancouver Canucks,2,San Jose Sharks,4,,16242,2:25,
2019-12-14,Chicago Blackhawks,3,St. Louis Blues,4,,18096,2:21,
2019-12-14,Washington Capitals,5,Tampa Bay Lightning,2,,19092,2:31,
2019-12-15,Minnesota Wild,3,Chicago Blackhawks,5,,21513,2:38,
2019-12-15,Los Angeles Kings,4,Detroit Red Wings,2,,18540,2:21,
2019-12-15,Vancouver Canucks,3,Vegas Golden Knights,6,,18066,2:46,
2019-12-15,Philadelphia Flyers,3,Winnipeg Jets,7,,15325,2:26,
2019-12-16,Washington Capitals,0,Columbus Blue Jackets,3,,16602,2:34,
2019-12-16,Edmonton Oilers,2,Dallas Stars,1,,18096,2:16,
2019-12-16,Ottawa Senators,1,Florida Panthers,6,,10448,2:31,
2019-12-16,Nashville Predators,5,New York Rangers,2,,17286,2:27,
2019-12-16,Colorado Avalanche,2,St. Louis Blues,5,,18096,2:24,
2019-12-17,Los Angeles Kings,4,Boston Bruins,3,OT,17850,2:43,
2019-12-17,Pittsburgh Penguins,4,Calgary Flames,1,,18412,2:22,
2019-12-17,Columbus Blue Jackets,5,Detroit Red Wings,3,,17639,2:26,
2019-12-17,Nashville Predators,8,New York Islanders,3,,12114,2:34,
2019-12-17,Anaheim Ducks,1,Philadelphia Flyers,4,,18449,2:27,
2019-12-17,Arizona Coyotes,3,San Jose Sharks,2,,16076,2:23,
2019-12-17,Ottawa Senators,3,Tampa Bay Lightning,4,OT,19092,2:31,
2019-12-17,Buffalo Sabres,3,Toronto Maple Leafs,5,,19365,2:20,
2019-12-17,Montreal Canadiens,3,Vancouver Canucks,1,,18788,2:29,
2019-12-17,Minnesota Wild,2,Vegas Golden Knights,3,,18220,2:29,
2019-12-17,Carolina Hurricanes,6,Winnipeg Jets,3,,15325,2:28,
2019-12-18,Colorado Avalanche,4,Chicago Blackhawks,1,,21481,2:29,
2019-12-18,Anaheim Ducks,1,New Jersey Devils,3,,13936,2:23,
2019-12-18,Edmonton Oilers,1,St. Louis Blues,2,,18096,2:27,
2019-12-19,Minnesota Wild,8,Arizona Coyotes,5,,15582,2:36,
2019-12-19,New York Islanders,3,Boston Bruins,2,SO,17850,2:37,
2019-12-19,Los Angeles Kings,2,Columbus Blue Jackets,3,OT,17117,2:34,
2019-12-19,Montreal Canadiens,4,Calgary Flames,3,OT,19172,2:41,
2019-12-19,Carolina Hurricanes,3,Colorado Avalanche,1,,18015,2:30,
2019-12-19,Nashville Predators,4,Ottawa Senators,5,OT,10407,2:40,
2019-12-19,Buffalo Sabres,1,Philadelphia Flyers,6,,18124,2:22,
2019-12-19,Dallas Stars,4,Tampa Bay Lightning,3,OT,19092,2:39,
2019-12-19,Vegas Golden Knights,4,Vancouver Canucks,5,OT,18871,2:36,
2019-12-19,Chicago Blackhawks,4,Winnipeg Jets,1,,15325,2:22,
2019-12-20,Pittsburgh Penguins,5,Edmonton Oilers,2,,18347,2:21,
2019-12-20,Dallas Stars,4,Florida Panthers,7,,14040,2:30,
2019-12-20,Washington Capitals,6,New Jersey Devils,3,,15021,2:29,
2019-12-20,Toronto Maple Leafs,6,New York Rangers,3,,16909,2:24,
2019-12-21,Nashville Predators,4,Boston Bruins,3,OT,17850,2:41,
2019-12-21,Los Angeles Kings,2,Buffalo Sabres,3,,17484,2:26,
2019-12-21,Florida Panthers,4,Carolina Hurricanes,2,,18224,2:30,
2019-12-21,New Jersey Devils,1,Columbus Blue Jackets,5,,17188,2:28,
2019-12-21,Chicago Blackhawks,5,Colorado Avalanche,3,,18056,2:28,
2019-12-21,Montreal Canadiens,3,Edmonton Oilers,4,,18347,2:27,
2019-12-21,Winnipeg Jets,6,Minnesota Wild,0,,17319,2:23,
2019-12-21,Anaheim Ducks,6,New York Islanders,5,SO,13917,2:44,
2019-12-21,Philadelphia Flyers,5,Ottawa Senators,4,SO,11203,2:39,
2019-12-21,St. Louis Blues,5,San Jose Sharks,2,,16065,2:23,
2019-12-21,Detroit Red Wings,1,Toronto Maple Leafs,4,,19080,2:24,
2019-12-21,Pittsburgh Penguins,1,Vancouver Canucks,4,,18285,2:29,
2019-12-21,Tampa Bay Lightning,1,Washington Capitals,3,,18573,2:33,
2019-12-22,Calgary Flames,5,Dallas Stars,1,,18532,2:32,
2019-12-22,Arizona Coyotes,5,Detroit Red Wings,2,,19515,2:24,
2019-12-22,Anaheim Ducks,1,New York Rangers,5,,17465,2:31,
2019-12-22,Vegas Golden Knights,3,San Jose Sharks,1,,17015,2:25,
2019-12-23,Washington Capitals,3,Boston Bruins,7,,17850,2:58,
2019-12-23,New Jersey Devils,7,Chicago Blackhawks,1,,21559,2:28,
2019-12-23,St. Louis Blues,4,Los Angeles Kings,1,,18230,2:23,
2019-12-23,Calgary Flames,0,Minnesota Wild,3,,17596,2:24,
2019-12-23,Arizona Coyotes,2,Nashville Predators,3,,17697,2:23,
2019-12-23,Columbus Blue Jackets,3,New York Islanders,2,,13917,2:24,
2019-12-23,Buffalo Sabres,1,Ottawa Senators,3,,11838,2:30,
2019-12-23,New York Rangers,1,Philadelphia Flyers,5,,19776,2:45,
2019-12-23,Florida Panthers,1,Tampa Bay Lightning,6,,19092,2:25,
2019-12-23,Carolina Hurricanes,6,Toronto Maple Leafs,8,,19176,2:29,
2019-12-23,Edmonton Oilers,2,Vancouver Canucks,4,,18851,2:22,
2019-12-23,Colorado Avalanche,7,Vegas Golden Knights,3,,18425,2:40,
2019-12-23,Montreal Canadiens,6,Winnipeg Jets,2,,15325,2:31,
2019-12-27,Vegas Golden Knights,3,Anaheim Ducks,4,,16601,2:21,
2019-12-27,Boston Bruins,3,Buffalo Sabres,0,,19070,2:22,
2019-12-27,New York Islanders,2,Chicago Blackhawks,5,,21747,2:29,
2019-12-27,Minnesota Wild,6,Colorado Avalanche,4,,18146,2:35,
2019-12-27,Calgary Flames,5,Edmonton Oilers,1,,18347,2:20,
2019-12-27,Toronto Maple Leafs,5,New Jersey Devils,4,OT,16514,2:36,
2019-12-27,Pittsburgh Penguins,5,Nashville Predators,2,,17849,2:31,
2019-12-27,Carolina Hurricanes,3,New York Rangers,5,,17498,2:34,
2019-12-27,Los Angeles Kings,3,San Jose Sharks,2,OT,16610,2:18,
2019-12-27,St. Louis Blues,5,Winnipeg Jets,4,OT,15325,2:28,
2019-12-27,Columbus Blue Jackets,1,Washington Capitals,2,OT,18573,2:32,
2019-12-28,Washington Capitals,4,Carolina Hurricanes,6,,18680,2:30,
2019-12-28,Colorado Avalanche,2,Dallas Stars,3,SO,18532,2:44,
2019-12-28,Detroit Red Wings,4,Florida Panthers,5,,17731,2:29,
2019-12-28,Nashville Predators,4,Pittsburgh Penguins,6,,18628,2:33,
2019-12-28,Philadelphia Flyers,1,San Jose Sharks,6,,16819,2:22,
2019-12-28,Montreal Canadiens,4,Tampa Bay Lightning,5,,19092,2:34,
2019-12-28,New York Rangers,5,Toronto Maple Leafs,4,OT,19492,2:36,
2019-12-28,Los Angeles Kings,2,Vancouver Canucks,3,,18837,2:20,
2019-12-28,Arizona Coyotes,1,Vegas Golden Knights,4,,18461,2:29,
2019-12-29,Philadelphia Flyers,2,Anaheim Ducks,1,OT,16238,2:36,
2019-12-29,Dallas Stars,4,Arizona Coyotes,2,,17125,2:44,
2019-12-29,Buffalo Sabres,2,Boston Bruins,3,,17850,2:33,
2019-12-29,Chicago Blackhawks,3,Columbus Blue Jackets,2,SO,18544,2:41,
2019-12-29,Vancouver Canucks,5,Calgary Flames,2,,19289,2:30,
2019-12-29,Montreal Canadiens,5,Florida Panthers,6,,19651,2:35,
2019-12-29,New York Islanders,3,Minnesota Wild,1,,17506,2:26,
2019-12-29,New Jersey Devils,4,Ottawa Senators,3,OT,14005,2:31,
2019-12-29,Winnipeg Jets,1,St. Louis Blues,4,,18096,2:27,
2019-12-29,Detroit Red Wings,1,Tampa Bay Lightning,2,,19092,2:20,
2019-12-30,Ottawa Senators,2,Pittsburgh Penguins,5,,18653,2:37,
2019-12-31,St. Louis Blues,1,Arizona Coyotes,3,,14618,2:21,
2019-12-31,Tampa Bay Lightning,6,Buffalo Sabres,4,,18465,2:29,
2019-12-31,Montreal Canadiens,1,Carolina Hurricanes,3,,18680,2:50,
2019-12-31,Florida Panthers,1,Columbus Blue Jackets,4,,18977,2:23,
2019-12-31,Chicago Blackhawks,5,Calgary Flames,3,,19289,2:46,
2019-12-31,Winnipeg Jets,7,Colorado Avalanche,4,,18147,2:37,
2019-12-31,San Jose Sharks,0,Detroit Red Wings,2,,19515,2:24,
2019-12-31,New York Rangers,5,Edmonton Oilers,7,,18347,2:37,
2019-12-31,Philadelphia Flyers,3,Los Angeles Kings,5,,17982,2:25,
2019-12-31,Toronto Maple Leafs,4,Minnesota Wild,1,,18164,2:29,
2019-12-31,Boston Bruins,2,New Jersey Devils,3,SO,16514,2:33,
2019-12-31,Anaheim Ducks,2,Vegas Golden Knights,5,,18320,2:28,
2019-12-31,New York Islanders,4,Washington Capitals,3,,18573,2:26,
2020-01-01,Nashville Predators,2,Dallas Stars,4,,85630,2:45,at Cotton Bowl (Dallas TX)
2020-01-02,Anaheim Ducks,2,Arizona Coyotes,4,,14651,2:20,
2020-01-02,Columbus Blue Jackets,2,Boston Bruins,1,OT,17850,2:22,
2020-01-02,Edmonton Oilers,2,Buffalo Sabres,3,OT,19070,2:34,
2020-01-02,New York Rangers,3,Calgary Flames,4,,19038,2:21,
2020-01-02,St. Louis Blues,3,Colorado Avalanche,7,,18135,2:31,
2020-01-02,Tampa Bay Lightning,2,Montreal Canadiens,1,,20904,2:25,
2020-01-02,New Jersey Devils,2,New York Islanders,1,,13917,2:34,
2020-01-02,Florida Panthers,6,Ottawa Senators,3,,10991,2:28,
2020-01-02,San Jose Sharks,3,Pittsburgh Penguins,2,OT,18620,2:35,
2020-01-02,Chicago Blackhawks,5,Vancouver Canucks,7,,18871,2:29,
2020-01-02,Philadelphia Flyers,4,Vegas Golden Knights,5,,18415,2:38,
2020-01-02,Toronto Maple Leafs,6,Winnipeg Jets,3,,15325,2:21,
2020-01-03,Washington Capitals,4,Carolina Hurricanes,3,,18680,2:29,
2020-01-03,Detroit Red Wings,1,Dallas Stars,4,,18532,2:23,
2020-01-04,Philadelphia Flyers,2,Arizona Coyotes,6,,17125,2:32,
2020-01-04,Edmonton Oilers,4,Boston Bruins,1,,17850,2:24,
2020-01-04,Florida Panthers,2,Buffalo Sabres,3,,17731,2:21,
2020-01-04,San Jose Sharks,3,Columbus Blue Jackets,2,,18874,2:26,
2020-01-04,Nashville Predators,4,Los Angeles Kings,1,,18230,2:33,
2020-01-04,Winnipeg Jets,2,Minnesota Wild,3,OT,17271,2:35,
2020-01-04,Pittsburgh Penguins,3,Montreal Canadiens,2,OT,21302,2:34,
2020-01-04,Colorado Avalanche,5,New Jersey Devils,2,,16514,2:34,
2020-01-04,Tampa Bay Lightning,5,Ottawa Senators,3,,13914,2:27,
2020-01-04,New York Islanders,0,Toronto Maple Leafs,3,,19536,2:16,
2020-01-04,New York Rangers,1,Vancouver Canucks,2,,18871,2:29,
2020-01-04,St. Louis Blues,4,Vegas Golden Knights,5,OT,18334,2:42,
2020-01-05,Nashville Predators,4,Anaheim Ducks,5,SO,15858,2:52,
2020-01-05,Tampa Bay Lightning,3,Carolina Hurricanes,1,,18015,2:28,
2020-01-05,Detroit Red Wings,2,Chicago Blackhawks,4,,21493,2:16,
2020-01-05,Calgary Flames,5,Minnesota Wild,4,SO,17204,2:43,
2020-01-05,Florida Panthers,4,Pittsburgh Penguins,1,,18564,2:25,
2020-01-05,San Jose Sharks,4,Washington Capitals,5,OT,18573,2:34,
2020-01-06,Columbus Blue Jackets,4,Los Angeles Kings,2,,14964,2:15,
2020-01-06,Winnipeg Jets,3,Montreal Canadiens,2,,20882,2:29,
2020-01-06,Colorado Avalanche,0,New York Islanders,1,,13241,2:29,
2020-01-06,Edmonton Oilers,6,Toronto Maple Leafs,4,,19507,2:32,
2020-01-07,Columbus Blue Jackets,4,Anaheim Ducks,3,,16153,2:27,
2020-01-07,Philadelphia Flyers,4,Carolina Hurricanes,5,OT,15072,2:41,
2020-01-07,Calgary Flames,2,Chicago Blackhawks,1,,21274,2:21,
2020-01-07,Montreal Canadiens,3,Detroit Red Wings,4,,17538,2:28,
2020-01-07,Arizona Coyotes,5,Florida Panthers,2,,12120,2:36,
2020-01-07,New York Islanders,4,New Jersey Devils,3,OT,14518,2:28,
2020-01-07,Boston Bruins,6,Nashville Predators,2,,17623,2:40,
2020-01-07,Colorado Avalanche,3,New York Rangers,5,,17082,2:30,
2020-01-07,San Jose Sharks,2,St. Louis Blues,3,,18096,2:26,
2020-01-07,Vancouver Canucks,2,Tampa Bay Lightning,9,,19092,2:34,
2020-01-07,Pittsburgh Penguins,4,Vegas Golden Knights,3,,18298,2:30,
2020-01-07,Ottawa Senators,1,Washington Capitals,6,,18573,2:23,
2020-01-08,Dallas Stars,2,Los Angeles Kings,1,,17129,2:24,
2020-01-08,Washington Capitals,2,Philadelphia Flyers,3,,18595,2:23,
2020-01-08,Winnipeg Jets,4,Toronto Maple Leafs,3,SO,19397,2:31,
2020-01-09,Dallas Stars,3,Anaheim Ducks,0,,15419,2:28,
2020-01-09,Winnipeg Jets,4,Boston Bruins,5,,17850,2:31,
2020-01-09,Minnesota Wild,1,Calgary Flames,2,,18634,2:26,
2020-01-09,Nashville Predators,5,Chicago Blackhawks,2,,21440,2:22,
2020-01-09,Vancouver Canucks,2,Florida Panthers,5,,12648,2:29,
2020-01-09,Edmonton Oilers,4,Montreal Canadiens,2,,21302,2:31,
2020-01-09,New Jersey Devils,3,New York Rangers,6,,17007,2:31,
2020-01-09,Columbus Blue Jackets,1,San Jose Sharks,3,,17085,2:24,
2020-01-09,Buffalo Sabres,1,St. Louis Blues,5,,18096,2:24,
2020-01-09,Arizona Coyotes,0,Tampa Bay Lightning,4,,19092,2:26,
2020-01-09,Los Angeles Kings,5,Vegas Golden Knights,2,,18281,2:31,
2020-01-10,Arizona Coyotes,0,Carolina Hurricanes,3,,16476,2:20,
2020-01-10,Pittsburgh Penguins,4,Colorado Avalanche,3,OT,18132,2:32,
2020-01-10,Ottawa Senators,2,Detroit Red Wings,3,SO,18724,2:46,
2020-01-11,Vancouver Canucks,6,Buffalo Sabres,3,,18509,2:32,
2020-01-11,Los Angeles Kings,0,Carolina Hurricanes,2,,18680,2:27,
2020-01-11,Edmonton Oilers,3,Calgary Flames,4,,19289,2:24,
2020-01-11,Anaheim Ducks,2,Chicago Blackhawks,4,,21548,2:24,
2020-01-11,Boston Bruins,3,New York Islanders,2,OT,14962,2:28,at Barclays Center (Brooklyn NY)
