Date,Visitor,G,Home,G,,Att.,LOG,Notes
2021-02-06,Arizona Coyotes,3,St. Louis Blues,1,,,2:21,
2021-02-06,Vancouver Canucks,1,Toronto Maple Leafs,5,,,2:25,
2021-02-07,Carolina Hurricanes,6,Columbus Blue Jackets,5,,,2:33,
2021-02-07,Chicago Blackhawks,2,Dallas Stars,1,OT,4203,2:29,
2021-02-07,Detroit Red Wings,4,Florida Panthers,1,,3706,2:26,
2021-02-07,Los Angeles Kings,3,Vegas Golden Knights,4,,,2:21,
2021-02-07,Philadelphia Flyers,7,Washington Capitals,4,,,2:18,
2021-02-08,Carolina Hurricanes,2,Columbus Blue Jackets,3,,,2:29,
2021-02-08,Tampa Bay Lightning,4,Nashville Predators,1,,,2:28,
2021-02-08,New York Islanders,2,New York Rangers,0,,,2:16,
2021-02-08,Edmonton Oilers,3,Ottawa Senators,1,,,2:25,
2021-02-08,Arizona Coyotes,4,St. Louis Blues,3,SO,,2:42,
2021-02-08,Vancouver Canucks,1,Toronto Maple Leafs,3,,,2:18,
2021-02-09,Winnipeg Jets,2,Calgary Flames,3,,,2:22,
2021-02-09,Chicago Blackhawks,2,Dallas Stars,1,OT,4059,2:22,
2021-02-09,Detroit Red Wings,1,Florida Panthers,2,,3477,2:14,
2021-02-09,San Jose Sharks,4,Los Angeles Kings,3,SO,,2:30,
2021-02-09,Tampa Bay Lightning,6,Nashville Predators,1,,,2:33,
2021-02-09,Edmonton Oilers,3,Ottawa Senators,2,,,2:26,
2021-02-09,Anaheim Ducks,4,Vegas Golden Knights,5,,,2:23,
2021-02-10,Toronto Maple Leafs,4,Montreal Canadiens,2,,,2:23,
2021-02-10,Boston Bruins,3,New York Rangers,2,OT,,2:32,
2021-02-11,Columbus Blue Jackets,6,Chicago Blackhawks,5,,,2:19,
2021-02-11,Carolina Hurricanes,5,Dallas Stars,3,,3687,2:41,
2021-02-11,Tampa Bay Lightning,2,Florida Panthers,5,,3808,2:21,
2021-02-11,San Jose Sharks,2,Los Angeles Kings,6,,,2:24,
2021-02-11,Edmonton Oilers,3,Montreal Canadiens,0,,,2:21,
2021-02-11,Detroit Red Wings,2,Nashville Predators,3,,,2:22,
2021-02-11,Pittsburgh Penguins,4,New York Islanders,3,SO,,2:40,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-02-11,Calgary Flames,3,Vancouver Canucks,1,,,2:26,
2021-02-11,Anaheim Ducks,1,Vegas Golden Knights,0,,,2:11,
2021-02-11,Ottawa Senators,1,Winnipeg Jets,5,,,2:16,
2021-02-12,St. Louis Blues,4,Arizona Coyotes,1,,2457,2:29,
2021-02-12,Boston Bruins,1,New York Rangers,0,,,2:30,
2021-02-13,St. Louis Blues,5,Arizona Coyotes,4,OT,3237,2:34,
2021-02-13,Columbus Blue Jackets,2,Chicago Blackhawks,3,OT,,2:20,
2021-02-13,Carolina Hurricanes,4,Dallas Stars,3,SO,4071,2:43,
2021-02-13,Tampa Bay Lightning,6,Florida Panthers,1,,4509,2:32,
2021-02-13,Detroit Red Wings,4,Nashville Predators,2,,,2:20,
2021-02-13,Boston Bruins,2,New York Islanders,4,,,2:30,at Nassau Veterans Memorial Coliseum (Uniondale NY)
2021-02-13,Vegas Golden Knights,3,San Jose Sharks,1,,,2:27,
2021-02-13,Montreal Canadiens,2,Toronto Maple Leafs,1,,,2:12,
2021-02-13,Calgary Flames,1,Vancouver Canucks,3,,,2:25,
2021-02-13,Ottawa Senators,2,Winnipeg Jets,1,,,2:17,
2021-02-14,Washington Capitals,3,Pittsburgh Penguins,6,,,2:30,
2021-02-14,Colorado Avalanche,0,Vegas Golden Knights,1,,,2:23,
2021-02-15,St. Louis Blues,0,Arizona Coyotes,1,,2554,2:21,
2021-02-15,New York Islanders,3,Buffalo Sabres,1,,,2:19,
2021-02-15,Columbus Blue Jackets,3,Carolina Hurricanes,7,,,2:37,
2021-02-15,Chicago Blackhawks,3,Detroit Red Wings,2,OT,,2:23,at Little Caesars Arena (Detroit MI)
2021-02-15,Winnipeg Jets,6,Edmonton Oilers,5,,,2:24,
2021-02-15,Anaheim Ducks,2,San Jose Sharks,3,,,2:23,
2021-02-15,Florida Panthers,6,Tampa Bay Lightning,4,,100,2:35,
2021-02-15,Ottawa Senators,6,Toronto Maple Leafs,5,OT,,2:40,
2021-02-15,Calgary Flames,4,Vancouver Canucks,3,OT,,2:32,
2021-02-16,New York Islanders,3,Buffalo Sabres,0,,,2:27,
2021-02-16,Minnesota Wild,0,Los Angeles Kings,4,,,2:31,
2021-02-16,New Jersey Devils,5,New York Rangers,2,,,2:35,
2021-02-16,Washington Capitals,3,Pittsburgh Penguins,1,,,2:22,
2021-02-16,Colorado Avalanche,3,Vegas Golden Knights,2,,,2:23,
2021-02-17,Florida Panthers,4,Carolina Hurricanes,3,OT,,2:33,
2021-02-17,Vancouver Canucks,5,Calgary Flames,1,,,2:20,
2021-02-17,Chicago Blackhawks,2,Detroit Red Wings,0,,,2:12,at Little Caesars Arena (Detroit MI)
2021-02-17,Winnipeg Jets,2,Edmonton Oilers,3,,,2:25,
2021-02-17,Ottawa Senators,1,Toronto Maple Leafs,2,,,2:22,
2021-02-18,Minnesota Wild,3,Anaheim Ducks,1,,,2:26,
2021-02-18,Los Angeles Kings,3,Arizona Coyotes,2,SO,2281,2:35,
2021-02-18,New Jersey Devils,3,Boston Bruins,2,,,2:28,
2021-02-18,Nashville Predators,0,Columbus Blue Jackets,3,,,2:23,
2021-02-18,New York Rangers,3,Philadelphia Flyers,2,SO,,2:41,
2021-02-18,New York Islanders,1,Pittsburgh Penguins,4,,,2:22,
2021-02-18,San Jose Sharks,2,St. Louis Blues,3,OT,,2:30,
